Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2024-03-27,0,-2385,-3689,-4228,-3580,-1688,1482,5294,8058,6323,2033,-1486,-4281,-958,1775,3524,5606,6574,8125,8619,6789,4727,4092,2675
2024-03-28,0,-2429,-3510,-3954,-3488,-1786,1106,6393,12625,15409,15953,14571,11954,14038,14143,13758,13582,12186,11953,11273,8758,6718,6224,5017
2024-03-29,0,-2391,-3758,-4365,-3983,-2228,839,4083,6164,6499,6187,6125,5953,8844,8759,6520,5653,5396,6738,7444,5883,4110,3800,2766
2024-03-30,0,-2339,-3806,-4404,-4152,-3300,-2588,-3780,-6475,-7520,-7481,-7975,-10131,-9478,-7676,-6294,-4841,-3357,-1447,219,-258,-1074,-1004,-1569
2024-03-31,0,-2321,-3638,-4239,-4015,-3068,-2491,-4266,-8006,-10863,-12618,-13708,-13814,-12144,-9602,-7545,-6022,-2302,1292,3343,2781,1836,1386,259
2024-04-01,0,-1827,-2821,-3145,-2348,-34,3781,7208,9173,8197,6049,2892,-261,2094,3554,5555,8774,11798,14125,14848,13379,11645,11033,9426
2024-04-02,0,-1976,-3156,-3583,-3045,-1452,1128,4189,6136,4783,3053,113,-2531,75,1806,4249,6367,7645,9124,9634,7898,6039,5191,3355
2024-04-03,0,-2105,-3076,-3462,-3159,-1459,1339,6169,11097,13226,13696,12228,9673,11525,11986,11969,12164,10995,11007,10838,8828,7027,6169,4656
2024-04-04,0,-2213,-3390,-3764,-3332,-1960,950,4800,8730,9103,8486,7106,4570,6483,6976,7648,9006,8863,9540,9825,8040,6057,5087,3383
2024-04-05,0,-2233,-3320,-3836,-3232,-1759,981,4293,7278,6556,4748,1151,-3163,-1620,-334,905,2908,4509,6819,8096,6587,4830,4121,2725
2024-04-06,0,-2165,-3447,-4165,-3956,-2945,-2224,-3065,-3981,-4763,-4524,-5676,-6857,-5717,-6949,-7577,-6578,-3794,-406,2110,1850,963,707,-293
2024-04-07,0,-2267,-3349,-3816,-3684,-2894,-2603,-4511,-8161,-10709,-12164,-13141,-12975,-12113,-11100,-9000,-5413,-1126,2347,4474,4377,3238,2393,854
2024-04-08,0,-1997,-2897,-3192,-2426,-569,3100,6927,9801,10408,10426,9691,7832,10976,12613,13477,14787,15103,16135,16481,14318,12369,11366,9481
2024-04-09,0,-1919,-2812,-3185,-2830,-1216,1483,3782,5167,3964,1618,-1471,-4422,-2026,-320,1756,4978,7016,9260,10431,8744,7033,6229,4809
2024-04-10,0,-1967,-3106,-3723,-3414,-2584,-1929,-2581,-4119,-6107,-7244,-8592,-10134,-9087,-7402,-6235,-3554,-282,2911,4877,4408,3155,1841,429
2024-04-11,0,-1841,-3126,-3420,-2635,-1136,1854,5793,9631,9523,8217,5269,2266,4206,5352,6208,7972,9106,11252,12178,10514,8632,7088,5701
2024-04-12,0,-1904,-2653,-3184,-2771,-1392,844,2646,3264,1978,-135,-2794,-5258,-1982,47,2040,4789,6276,7821,8875,7536,5724,4968,3355
2024-04-13,0,-2154,-3244,-3602,-3170,-2739,-2288,-3768,-6842,-8876,-10312,-11569,-12807,-11269,-10012,-7791,-4985,-1816,897,2715,2382,1175,950,-364
2024-04-14,0,-2017,-2994,-3731,-3808,-3077,-2865,-4890,-8024,-9860,-10715,-10832,-10741,-8993,-7176,-4614,-2086,1045,4133,6160,5683,4556,3147,1564
2024-04-15,0,-1985,-2714,-3169,-2676,-1021,2473,8173,14624,17505,17990,16672,14462,16861,17517,17349,17476,17007,17143,16781,14368,12236,11241,9261
2024-04-16,0,-1758,-2602,-3140,-2736,-1396,1301,5440,9038,9377,7507,3455,-1272,39,817,2270,5473,8130,10415,11218,9558,7475,6319,4383
2024-04-17,0,-1923,-3028,-3520,-2811,-1721,419,2681,3798,2445,319,-2470,-4731,-1524,634,3331,5495,6802,8616,9537,7963,6491,5342,3371
2024-04-18,0,-1833,-2954,-3398,-2939,-1607,647,2108,2737,1669,150,-2122,-4646,-1600,537,2811,5768,7793,9686,10512,8702,6691,5619,3590
2024-04-19,0,-1835,-2851,-3456,-3268,-2212,-203,1220,2050,1277,-281,-2437,-4611,-1659,577,2871,5440,6760,8236,9075,7550,5764,5024,3370
2024-04-20,0,-1983,-3104,-3881,-3879,-3505,-2460,-1172,813,2465,2726,2210,965,1496,2055,2047,2075,2219,3024,3668,3076,1806,1678,701
2024-04-21,0,-2181,-3439,-4003,-4002,-3535,-2865,-2371,-1940,-1650,-1545,-1561,-1085,-90,337,665,1294,2460,3851,4622,3999,2691,1432,-69
2024-04-22,0,-1685,-2777,-3067,-2464,-776,2583,7228,11912,13309,12658,10421,7461,9639,10989,11903,13625,14334,15787,16169,14493,12488,11258,9227
2024-04-23,0,-2112,-3237,-3810,-3498,-2364,-50,1624,2283,1782,512,-969,-2137,2609,6433,9103,10339,10526,10764,10848,8934,6844,5730,4001
2024-04-24,0,-2189,-3269,-3377,-3059,-1903,1334,4856,7996,9101,7158,4216,1220,3727,4742,4867,6280,7055,8736,10004,8659,6899,5940,4109
2024-04-25,0,-1978,-3079,-3287,-2814,-1603,777,2766,4364,3758,1653,-2053,-5690,-2969,-810,1401,4435,7011,9093,10172,8716,6796,5704,3543
2024-04-26,0,-1933,-2959,-3057,-2642,-1472,781,2970,4426,4227,2667,85,-2180,904,2945,3822,5848,6479,7701,8988,7942,6047,5393,3611
2024-04-27,0,-1907,-3150,-3978,-4197,-3756,-3698,-5765,-8245,-10237,-11382,-12636,-13948,-12482,-10843,-8725,-5765,-2730,178,2050,1808,520,-82,-1353
2024-04-28,0,-2002,-3183,-3779,-3752,-3518,-3861,-5645,-7592,-9357,-10297,-10871,-10800,-9392,-7803,-5427,-1836,1647,4402,6420,6170,4695,3304,1679
2024-04-29,0,-1705,-2691,-2841,-2473,-864,2579,7586,12663,14594,14889,14119,12143,15166,16257,16103,16320,16258,16924,16900,14964,12651,11367,9437
2024-04-30,0,-1951,-2854,-3341,-3006,-2180,-5,2769,5797,6318,5345,3310,575,2919,5349,7754,9214,9209,9727,10028,8683,6695,5659,3962
2024-05-01,0,-2062,-3126,-3801,-3994,-3651,-2925,-2215,-2268,-3532,-4834,-6977,-7936,-6354,-5390,-4241,-2573,-280,2653,4335,3990,2525,1879,121
2024-05-02,0,-1773,-2677,-3163,-2778,-1628,603,2639,4196,3892,2584,368,-2117,1027,3301,5497,8598,10517,12524,13581,12149,10049,8567,6370
2024-05-03,0,-1941,-2921,-3464,-3282,-2339,-414,433,921,633,-471,-2462,-4624,-1528,511,2601,5719,7418,8857,9523,8522,6560,5429,3477
2024-05-04,0,-2258,-3549,-4274,-4367,-4142,-4247,-6312,-8418,-9759,-10073,-11125,-11878,-10040,-8442,-6436,-3666,-1292,724,2237,2114,963,193,-1261
2024-05-05,0,-1857,-3020,-3539,-3589,-3379,-2378,-1442,-188,628,1541,1827,1809,2234,2189,2473,3032,4256,5316,5942,5713,4595,3567,2186
2024-05-06,0,-1767,-2860,-3356,-3156,-2358,-1020,606,2801,3970,4242,3748,2614,3717,4621,5602,6468,7494,8707,9687,9384,7970,6557,4764
2024-05-07,0,-1977,-2951,-3421,-2983,-1596,1875,6753,11909,13780,14057,13140,11130,13943,14502,14941,15662,15124,15232,14740,13109,11124,10007,7986
2024-05-08,0,-2062,-3244,-3730,-3371,-2418,-371,1340,2311,1900,958,-1273,-4068,-1252,569,1893,3938,5498,7302,8484,8078,6509,5487,3579
2024-05-09,0,-1972,-3072,-3666,-3513,-2596,-849,245,1084,654,-412,-2868,-5489,-2512,-165,2047,4835,7168,9304,10184,8960,6937,5802,3840
2024-05-10,0,-1856,-2992,-3541,-3438,-2537,-921,165,1013,413,-656,-2932,-5316,-2287,-346,1716,5204,6808,8392,9064,8236,6396,5451,3665
2024-05-11,0,-2110,-3215,-3925,-4005,-3866,-3981,-5117,-5746,-5203,-4932,-5237,-5602,-2282,-447,601,1568,2253,3016,3837,3363,1966,1211,-256
2024-05-12,0,-1888,-3079,-3973,-4044,-4075,-4057,-5589,-8117,-10032,-11083,-11467,-11431,-10707,-9656,-7219,-4197,-690,2056,4161,4452,3266,1954,204
2024-05-13,0,-1654,-2711,-2824,-2496,-1089,1220,3426,5512,5709,4800,2854,681,3795,6206,8325,11296,13576,15788,16205,15022,12813,11528,9505
2024-05-14,0,-1874,-2774,-3398,-3201,-2112,-506,533,1531,1225,136,-1688,-4193,-869,1212,3205,6085,8102,9993,10622,9463,7935,6564,4672
2024-05-15,0,-1944,-3147,-3831,-3868,-3651,-3476,-4667,-5351,-5891,-5959,-6342,-7111,-3404,-268,2393,4075,4244,4863,5444,5088,3671,2042,340
