Date,Open
2022-12-14,4015.54
2022-12-15,3958.37
2022-12-16,3890.91
2022-12-19,3853.79
2022-12-20,3810.47
2022-12-21,3839.49
2022-12-22,3853.26
2022-12-23,3815.11
2022-12-27,3843.34
2022-12-28,3829.56
2022-12-29,3805.45
2022-12-30,3829.06
2023-01-03,3853.29
2023-01-04,3840.36
2023-01-05,3839.74
2023-01-06,3823.37
2023-01-09,3910.82
2023-01-10,3888.57
2023-01-11,3932.35
2023-01-12,3977.57
2023-01-13,3960.60
2023-01-17,3999.28
2023-01-18,4002.25
2023-01-19,3911.84
2023-01-20,3909.04
2023-01-23,3978.14
2023-01-24,4001.74
2023-01-25,3982.71
2023-01-26,4036.08
2023-01-27,4053.72
2023-01-30,4049.27
2023-01-31,4020.85
2023-02-01,4070.07
2023-02-02,4158.68
2023-02-03,4136.69
2023-02-06,4119.57
2023-02-07,4105.35
2023-02-08,4153.47
2023-02-09,4144.25
2023-02-10,4068.92
2023-02-13,4096.62
2023-02-14,4126.70
2023-02-15,4119.50
2023-02-16,4114.75
2023-02-17,4077.39
2023-02-21,4052.35
2023-02-22,4001.83
2023-02-23,4018.60
2023-02-24,3973.24
2023-02-27,3992.36
2023-02-28,3977.19
2023-03-01,3963.34
2023-03-02,3938.68
2023-03-03,3998.02
2023-03-06,4055.15
2023-03-07,4048.26
2023-03-08,3987.55
2023-03-09,3998.66
2023-03-10,3912.77
2023-03-13,3835.12
2023-03-14,3894.01
2023-03-15,3876.74
2023-03-16,3878.93
2023-03-17,3958.69
2023-03-20,3917.47
2023-03-21,3975.89
2023-03-22,4002.04
2023-03-23,3959.21
2023-03-24,3939.21
2023-03-27,3982.93
2023-03-28,3974.13
2023-03-29,3999.53
2023-03-30,4046.74
2023-03-31,4056.18
2023-04-03,4102.20
2023-04-04,4128.03
2023-04-05,4094.50
2023-04-06,4081.15
2023-04-10,4085.20
2023-04-11,4110.29
2023-04-12,4121.72
2023-04-13,4100.04
2023-04-14,4140.11
2023-04-17,4137.17
2023-04-18,4164.26
2023-04-19,4139.33
2023-04-20,4130.48
2023-04-21,4132.14
2023-04-24,4132.07
2023-04-25,4126.43
2023-04-26,4087.78
2023-04-27,4075.29
2023-04-28,4129.63
2023-05-01,4166.79
